date,price
2023-11-05,26204285.714285713
2023-11-06,21966666.666666668
2023-11-07,37487500.0
2023-11-08,22400000.0
2023-11-09,11587500.0
2023-11-10,16816000.0
2023-11-11,19340000.0
2023-11-12,38750000.0
2023-11-13,38400000.0
2023-11-14,17640000.0
2023-11-15,19550000.0
2023-11-16,5700000.0
2023-11-17,18130000.0
2023-11-18,24594166.666666668
2023-11-19,24594166.666666668
2023-11-20,24594166.666666668
2023-11-21,10600000.0
2023-11-22,54570000.0
2023-11-23,24594166.666666668
2023-11-24,24594166.666666668
2023-11-25,24594166.666666668
2023-11-26,24594166.666666668
2023-11-27,24594166.666666668
2023-11-28,19000000.0
2023-11-29,24594166.666666668
2023-11-30,24594166.666666668
